NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
donat,Snack,3gramragi; 40gramkuning telur; 30gramgula pasir; 130 ml susu uht full cream; 15 g susu; 250 g tepung terigu cakra kembar,"Campur semua bahan kering, | Tambahkan semua bahan basah dan uleni hingga halus, | Diamkan hingga ukurannya dua kali lipat, | Bentuk adonan dan goreng hingga berwarna cokelat keemasan,",106.18,3.7,1.73,43.0,19.3,0.1,3.46,10.0,26.0
donat bebas gluten,Snack,1 telur; 6gr biji labu panggang; 1/2 sdt garam; 1 sdt ekstrak vanila; 60ml air; 25gr susu rendah lemak; 10gr baking powder; 50gr tepung oat ,"Campurkan semua bahan kecuali biji labu, aduk hingga tidak menggumpal; tuang adonan ke dalam cetakan donat dan taburkan biji labu di atasnya; panggang suhu 180°C selama 15-25 menit; angkat dan sajikan",175.92,3.0,5.26,93.0,25.02,3.5,4.08,180.0,80.0
donat dilapisi gula,Snack,tepung terigu 100 g; telur 50 g; gula 30 g; minyak goreng 25 ml,"Buat adonan donat, goreng hingga matang lalu lapisi dengan gula",191.68,2.34,10.3,14.0,22.86,0.7,0.0,181.0,46.0
donat dilapisi gula atau coklat mengkilat,Snack,tepung terigu 100 g; gula 25 g; coklat 30 g; minyak goreng 25 ml,Goreng donat hingga matang lalu lapisi dengan gula atau coklat mengkilat,250.24,2.7,11.94,34.0,34.44,1.3,19.15,204.0,64.0
double cheese burger (burger king),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,282.03,17.0,16.0,0.0,17.0,0.0,4.2,562.0,231.0
double cheeseburger (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,450.05,25.0,24.0,80.0,34.0,2.0,7.0,1150.0,0.0
double choco pie (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,240.92,3.0,13.0,0.0,26.0,0.0,9.0,124.0,0.0
double choux caramel macchiato (lawson),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,200.05,5.0,9.0,0.0,24.0,7.0,7.0,135.0,0.0
double choux matcha (lawson),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,260.04,5.0,17.0,0.0,20.0,0.0,7.0,150.0,0.0
double choux vanilla (lawson),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,229.92,5.0,16.0,0.0,16.0,0.0,6.0,180.0,0.0
double mcspicy (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,832.93,38.0,46.0,140.0,66.0,6.0,0.0,2161.0,0.0
dragon fruit jelly,Snack,"2gelasair; 500 g buah naga; 3,75 g jelly powder anggur","Rebus nutrijell rasa apa pun dalam 2 gelas air, Rebus hingga mendidih ,, Setelah masak, diamkan 3 menit, lalu tambahkan asam buah dan biarkan dingin, | Belah buah naga menjadi dua, keluarkan isinya lalu potong dadu, usahakan kulit buah naga masih tersisa, | Potong Nutrijell dingin menjadi kubus, lalu sajikan dengan irisan buah naga di atas kulit buah naga, Selamat menikmati,",132.41,0.0,0.95,0.0,32.45,4.8,24.52,10.0,480.0
Durian,Snack,Tidak Tersedia,Tidak Tersedia,147.0,1.5,5.3,0.0,27.1,3.8,6.8,2.0,436.0
ebi fry,Snack,udang 80 g; tepung terigu 30 g; minyak goreng 20 ml,Balut udang dengan tepung lalu goreng dalam minyak panas hingga matang dan renyah,59.99,4.0,0.5,20.0,8.0,3.0,8.0,150.0,0.0
ebi furai,Snack,udang 100 g; tepung roti 40 g; minyak goreng 25 ml,Balut udang dengan tepung roti lalu goreng dalam minyak panas hingga berwarna keemasan,359.94,9.0,32.0,0.0,10.0,0.0,0.0,450.0,0.0
egg and cheese muffin (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,294.93,15.0,14.0,0.0,27.0,1.8,2.6,1100.0,0.0
egg mcmuffin (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,299.95,18.0,12.0,0.0,30.0,0.0,0.0,820.0,0.0
empal gentong,Meal,20gr daging sapi; 100ml santan; bawang putih; kunyit; ketumbar; lengkuas; daun salam; serai; garam,Rebus daging sapi dengan air hingga empuk lalu potong dadu; haluskan bumbu dan tumis hingga harum; masukkan santan dan bumbu ke dalam kuah rebusan; masukkan daging dan masak hingga kuah mengental; sajikan,180.0,12.0,10.0,45.0,10.0,1.0,1.0,380.0,280.0
enoki pedas manis,Snack,1 sdt bubuk cabai; sejumput garam; 1 sdm minyak wijen; 2 siung bawang putih; 2 sdm saus tomat; 1 sdt gula pasir; 2 ml minyak goreng; 100 g jamur enoki; 2 sdm saos tiram,"Potong akar jamur dan cuci, | Panaskan minyak dalam wajan dan tumis bawang putih hingga harum, | Tambahkan sisa bahan secara bertahap, | Masak selama 10 menit atau sampai empuk,",134.07,3.61,8.0,0.0,14.56,1.6,6.64,480.0,104.0
es krim vanila ringan (tanpa tambahan gula),Snack,susu 200 ml; vanila 2 g,Campurkan susu dan vanila lalu bekukan hingga menjadi es krim ringan,105.4,2.7,5.07,18.0,14.57,0.5,4.39,65.0,133.0
Es Teh,Snack, 2gr teh; 250ml air; 10gr gula pasir; 100gr es batu,Seduh teh dengan air panas; tambahkan gula dan aduk hingga larut; diamkan hingga dingin lalu tambahkan es batu; sajikan,19.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,21.0
Es Teh Tawar,Snack,teh 2 g; air 250 ml; es batu 100 g,Seduh teh 2 g dengan air 250 ml tanpa gula lalu tambahkan es batu 100 g,9.0,0.02,0.0,0.0,0.67,0.0,0.01,7.0,81.0
escarole masak (lemak ditambahkan dalam masakan),Meal,escarole 100 g; minyak 10 ml,Tumis escarole dengan minyak hingga layu dan matang,93.21,2.35,7.26,0.0,6.41,5.8,0.46,790.0,528.0
fajita dengan ayam dan sayuran,Meal,dada ayam 120 g; paprika 60 g; bawang 30 g,Tumis ayam hingga matang lalu masukkan paprika dan bawang sampai sayuran layu,352.29,19.67,12.11,40.0,41.52,5.4,4.82,479.0,520.0
fajita dengan daging sapi dan sayuran,Meal,daging sapi 120 g; paprika 60 g; bawang 30 g,Tumis daging sapi hingga matang lalu tambahkan paprika dan bawang hingga layu,376.91,23.53,16.35,36.0,33.05,2.9,3.5,827.0,473.0
fiesta ready meal rice with chicken satay sauce (fiesta),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,469.89,39.0,11.0,0.0,54.0,0.0,0.0,620.0,0.0
fillet-o-fish (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,380.02,16.0,19.0,30.0,38.0,0.0,4.0,580.0,280.0
fire chicken (richeese),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,380.02,32.5,18.25,0.0,21.75,0.0,0.0,1418.0,0.0
fish fillet burger (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,390.06,17.0,19.0,45.0,38.0,2.0,5.0,570.0,0.0
fitmee mie goreng korea konnyaku,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,140.06,1.0,2.0,0.0,31.0,5.0,6.0,400.0,0.0
fitmee rasa soto,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,59.99,0.0,2.0,0.0,10.0,2.0,2.0,430.0,0.0
fitmee soto,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,59.99,0.0,2.0,0.0,10.0,2.0,2.0,430.0,0.0
florida orange,Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,49.95,0.0,0.0,0.0,14.0,0.0,11.0,30.0,0.0
french fries (medium) (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,373.09,4.1,17.6,0.0,48.7,4.1,0.0,280.0,0.0
french fries (small) (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,229.92,3.0,11.0,0.0,29.0,0.0,0.0,160.0,0.0
fried chicken (thigh) (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,330.07,28.0,17.0,85.0,16.0,0.0,0.0,740.0,0.0
fruit juice pineapple guava,Snack,nanas 80 g; jambu 70 g; air 150 ml,Blender nanas dan jambu bersama air hingga halus,90.11,1.0,0.0,0.0,23.0,2.0,18.0,20.0,0.0
fu yung hai,Meal,telur 2 butir (100 g); sayuran 50 g; saus 40 g,Dadar telur dengan sayuran lalu siram dengan saus hingga matang,130.98,7.55,9.71,215.0,3.61,0.7,1.95,375.0,144.0
gado gado,Meal,sayuran 150 g; bumbu kacang 60 g,Rebus sayuran lalu siram dengan bumbu kacang sebelum disajikan,132.17,7.14,7.41,78.0,10.9,2.9,1.84,126.0,312.0
gandum dengan buah,Meal,1 sdm madu; 1 gelas yogurt stroberi; 3 sdm gandum; 100 g buah naga; 100 g apel,"Masak gandum dengan air sesuai kemasan, | Pindahkan ke mangkuk lalu tambahkan yogurt, | Iris buah dan tambahkan ke mangkuk, Gerimis dengan madu,",251.19,4.57,3.8,5.0,50.22,4.4,21.3,16.0,96.0
garlic bread (pizza hut),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,54.02,1.0,0.0,0.0,8.0,0.0,0.0,110.0,0.0
garlic lime rice,Meal,80gr beras; 5gr bawang putih; 10ml perasan jeruk nipis; sejumput garam; 1 sdt minyak goreng ,"Masak nasi hingga matang; tumis bawang putih dengan sedikit minyak; campurkan nasi, bawang putih, perasan jeruk nipis, dan garam; aduk rata dan sajikan",140.0,2.8,1.5,0.0,28.0,0.4,0.5,400,50.0
garuda rosta kacang panggang rasa bawang,Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,59.99,2.0,3.0,0.0,6.0,1.0,1.0,60.0,0.0
gendar goreng,Snack,100gr beras; 25ml minyak goreng; sejumput garam,Masak nasi hingga pulen; bentuk adonan lalu jemur hingga kering; goreng dalam minyak panas hingga mekar dan renyah,350.0,5.0,15.0,0.0,50.0,0.5,1.0,223.0,80.0
getuk goreng,Snack,singkong 150 g; gula 30 g; minyak goreng 25 ml,Goreng getuk singkong dalam minyak panas hingga matang,359.46,1.31,6.68,0.0,74.06,1.0,34.96,202.0,193.0
glowing calamansi,Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,109.94,2.0,0.0,0.0,25.0,6.0,11.0,20.0,0.0
golden money bag,Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,99.9,8.0,2.5,30.0,10.0,0.0,1.0,170.0,0.0
goreng pedes gledek (pop mie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,369.98,6.0,18.0,0.0,45.0,2.0,6.0,930.0,0.0
granola homemade,Snack,75gramdry roasted unsalted peanuts; 1 1/2 tbsps honey; 2 sdt extra virgin olive oil; 400 g havermout rolled oat; 45 g kurma; 75 g gula aren,"Sangrai rolled oat, kacang tanah hingga kecoklatan, | Masukkan bahan2 untuk saus, olive oil,gula aren, madu, kurma, | Campur dengan rata siap di sajikan dengan susu atau yogurt,",266.33,6.45,8.67,0.0,42.4,11.4,12.36,3.0,51.0
green smoothie,Snack,50gramcelery; 10 g pisang single; 35 g oat; 15 g chia seed,"Cuci bersih dab siapkan bahan, | Blend jadi satu, | Serving tabur chia seed,",229.01,6.94,7.58,0.0,33.68,10.0,1.22,43.0,133.0
grilled chicken burger (burger king),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,510.04,37.0,19.0,75.0,49.0,4.0,7.0,1180.0,0.0
guava juice,Snack,jambu 150 g; air 150 ml,Blender jambu dengan air hingga halus,90.11,0.0,0.0,0.0,24.0,0.0,17.0,75.0,245.0
gulai ayam,Meal,ayam 120 g; santan 100 ml; rempah 10 g,Masak ayam dengan santan dan rempah hingga matang dan kuah mengental,202.2,14.33,14.88,43.0,4.0,1.1,0.19,207.0,278.0
gulai daging sapi,Meal,daging sapi 120 g; santan 80 ml; rempah 10 g,Masak daging sapi dengan santan dan rempah hingga empuk,108.99,13.2,4.63,34.0,3.02,0.3,1.22,225.0,279.0
gulai daging sapi dengan mie,Meal,daging sapi 100 g; mie 60 g; santan 80 ml,Masak gulai daging hingga empuk; rebus mie terpisah; sajikan gulai bersama mie,180.0,12.0,8.0,35.0,16.0,0.8,1.0,320.0,250.0
gulai daun singkong,Meal,daun singkong 100 g; santan 100 ml; rempah 10 g,Masak daun singkong dengan santan dan rempah hingga matang,223.95,6.3,19.0,0.0,12.56,3.7,0.3,507.0,748.0
gulai ikan,Meal,ikan 120 g; santan 80 ml; rempah 10 g,Masak ikan dengan santan dan rempah hingga matang,100.38,12.4,4.59,32.0,1.9,0.5,0.63,169.0,289.0
gulai kambing,Meal,daging kambing 120 g; santan 80 ml; rempah 10 g,Masak daging kambing dengan santan hingga empuk,125.48,4.71,9.6,12.0,6.44,1.0,3.1,163.0,173.0
gulai pakis,Meal,pakis 100 g; santan 80 ml; rempah 10 g,Masak pakis dengan santan dan rempah hingga matang,139.82,4.93,11.8,30.0,6.4,2.3,1.34,352.0,238.0
gulai tunjang,Meal,kikil sapi 120 g; santan 80 ml; rempah 10 g,Masak kikil sapi dengan santan hingga empuk,121.65,13.87,5.61,38.0,3.56,0.4,0.54,215.0,283.0
gulungan salad daging sapi asap,Meal,1sedangrice paper; 20gramwortel; 20grammentimun (kupas); 30gramselada air; 50 g smoked beef; 17 g keju slice,"Celupkan rice paper ke air hangat hingga lemas & mudah dibentuk, | Susun semua bahan di atas rice paper lalu gulung, | Salad siap disajikan,",180.02,11.72,6.78,20.0,17.04,1.2,2.29,720.0,199.0
gyoza,Snack,200gramdada ayam; 1 sdt minyak wijen; 1 sdm saus tiram; 100gramkubis; 2 siung bawang putih; 1 mangkok daun bawang; 1 sejumput garam laut; 10 g tepung tapioka; 20 kecil pangsit polos,"Haluskan Dada ayam , tapioka , 1 butir telur , kubis , ke dalam chopper sampai halus jangan lupa di beri bumbu, | Isi kulit pangsit dengan isian gyoza, | Kukus di atas teflon selama 30 menit dengan sedikit air sambil ditutup,",49.23,3.73,1.62,9.0,4.86,0.3,0.66,151.0,57.0
hakau dimsum,Snack,udang 60 g; tepung 30 g; kulit pangsit 20 g,Kukus hakau hingga matang dan transparan,54.02,2.09,2.38,13.0,5.93,0.3,0.09,65.0,28.0
hamburger (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,239.96,12.0,8.0,30.0,31.0,1.0,6.0,480.0,0.0
hash brown (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,140.06,2.0,8.0,0.0,18.0,2.0,0.0,310.0,240.0
Hati Bebek rebus,Meal,hati bebek 120 g,Rebus atau tumis hati bebek 120 g hingga matang,136.0,18.74,4.64,515.0,3.53,0.0,0.0,640.0,230.0
healthy banana oat muffin,Snack,57gramtelur; 1gramgaram; 2grambaking soda; 75gramoat; 157 g banana; 15 g cocoa powder; 18 g coconut sugar; 2 g kopi bubuk; 2 g baking powder; 2100 g squeeze yoghurt,"Blender oats sampai jadi halus atau merupai tepung, Bisa pakai tepung lain, | Campur tepung oats, cocoa powder, baking soda, baking powder, kopi instan, gula dan garam, | Haluskan pisang lalu campurkan dengan telur dan yogurt, | Campur adonan basah dengan adonan kering, | Masukan adonan muffin ke cup/loyang yang sudah anda sediakan, | Tambahkan topping pilihan anda sesuai selera, | Panggang di oven 180°C sekitar 20 - 25 menit, | Angkat dan dinginkan,",459.27,14.1,12.23,40.0,78.65,3.1,41.11,470.0,662.0
healthy oatmeal bar,Snack,1 sdt ekstrak vanila; 135 g instant oatmeal; 60 g creamy peanut butter; 150 g banana; 20 g choco chips,"Hancurkan pisang dengan garpu sampai lembut, | Tuang bahan lain kecuali chocochips, aduk sampai rata, | Masukkan choco chips, aduk lagi sampai rata, | Tuang ke loyang yg sudah di alas baking paper, Panggang api bawah 180° kurang lebih 15-20 menit,",93.92,2.84,3.51,0.0,13.67,2.0,2.82,17.0,46.0
hoka hemat 2 (hokben),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,463.91,20.6,18.2,0.0,52.9,0.0,0.0,526.0,0.0
hoka hemat 3 (hokben),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,413.0,20.0,15.0,0.0,47.0,0.0,0.0,494.0,0.0
honey mustard chicken,Meal,dada ayam 150 g; saus mustard 20 g,Masak dada ayam 150 g hingga matang lalu campur dengan saus mustard 20 g,178.06,28.0,7.0,0.0,1.0,0.0,2.0,474.0,0.0
hongkong soya chicken,Meal,ayam 150 g; kecap asin 15 ml,Masak ayam 150 g dengan kecap asin 15 ml hingga meresap,173.04,28.0,4.0,0.0,4.0,0.0,3.0,479.0,0.0
hot & spicy chicken (richeese),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±150 g),380.02,43.0,21.25,0.0,13.5,0.0,0.0,1285.0,0.0
hot choco,Snack,"281 g low fat high calcium French vanilla; 1 bedak wangi stevia sweetener; 750 ml air mineral; 37,5 g cocoa powder","Didihkan susu, air matang selama 3 menit, | Tuang bubuk coklat di mug, | Tuang air dan susu yang hangat ke dalam mug, | Aduk bersama gula stevia, | Nikmati!",288.03,16.25,8.12,6.0,41.75,16.2,21.25,138.0,462.0
hotcakes (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±130 g),530.11,8.0,9.0,20.0,92.0,3.0,14.0,610.0,0.0
hype abis ayam geprek,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±140 g),409.89,9.0,20.0,0.0,49.0,3.0,6.0,900.0,0.0
hype abis ayam geprek (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±140 g),409.89,9.0,20.0,0.0,49.0,3.0,6.0,900.0,0.0
hype abis mi nyemek ala banglahdes'e rasa kari (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±135 g),380.02,7.0,16.0,4.0,50.0,2.0,5.0,1010.0,0.0
hype abis mieghetti rasa bolognese (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±140 g),390.06,8.0,14.0,0.0,57.0,4.0,5.0,940.0,0.0
hype abis seblak hot jeletot (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 porsi ±135 g),330.07,7.0,13.0,0.0,47.0,2.0,3.0,1240.0,0.0
ice cream cone (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (1 cone ±80 g),169.93,5.0,4.5,1520.0,27.0,0.0,20.0,80.0,0.0
iced coffee (mcd),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food (±250 ml),190.01,1.0,7.0,25.0,31.0,0.0,30.0,50.0,0.0
iga babi panggang dengan saus,Meal,iga babi 100 g; saus 30 g; bawang putih 5 g; ketumbar 2 g; sejumput; minyak 10 ml,"Panggang iga babi 100 g dengan bawang putih 5 g, ketumbar 2 g, sejumput, minyak 10 ml lalu beri saus 30 g",309.99,21.44,22.33,87.0,4.2,0.4,1.29,334.0,287.0
iga bakar,Meal,iga sapi 100 g; bawang putih 5 g; ketumbar 2 g; sejumput; minyak 10 ml,"Lumuri iga sapi 100 g dengan bawang putih 5 g, ketumbar 2 g, dan sejumput lalu panggang hingga matang",254.54,19.1,19.0,68.0,0.94,0.6,0.15,272.0,325.0
ikan belanak goreng,Meal,ikan belanak 150 g; sejumput; minyak goreng 20 ml,"Bersihkan ikan belanak 150 g, beri sejumput, lalu goreng dengan minyak 20 ml hingga keemasan",169.46,18.0,9.2,45.0,2.51,0.1,0.22,220.0,330.0
ikan kembung kukus,Meal,ikan kembung 150 g; air 500 ml; sejumput,Kukus ikan kembung 150 g dengan air 500 ml dan sejumput hingga matang,201.24,20.21,12.0,56.0,2.31,0.3,0.32,232.0,416.0
ikan kod panggang,Meal,ikan kod 150 g; sejumput,Panggang ikan kod 150 g dengan sejumput hingga kecokelatan,121.89,20.91,3.59,43.0,0.41,0.0,0.09,406.0,476.0
ikan kuah kuning,Meal,ikan 150 g; kunyit 5 g; bawang putih 5 g; rempah campur 3 g; sejumput; air 500 ml,"Rebus ikan 150 g bersama kunyit 5 g, bawang putih 5 g, rempah 3 g, sejumput, dan air 500 ml hingga matang",116.4,19.16,2.63,40.0,3.15,0.3,0.74,162.0,419.0
ikan lele panggang,Meal,ikan lele 150 g; sejumput,Panggang ikan lele 150 g dengan sejumput hingga matang,184.03,18.16,11.71,55.0,0.41,0.0,0.09,385.0,354.0
ikan lidah goreng,Meal,ikan lidah 150 g; sejumput; minyak goreng 20 ml,Beri ikan lidah 150 g dengan sejumput lalu goreng menggunakan minyak 20 ml hingga renyah,103.73,15.75,3.03,62.0,2.43,0.0,0.0,109.0,354.0
ikan mas goreng,Meal,ikan mas 150 g; sejumput; minyak goreng 20 ml,"Bersihkan ikan mas 150 g, beri sejumput lalu goreng dengan minyak 20 ml hingga matang",117.59,18.16,4.39,58.0,0.17,0.0,0.01,88.0,327.0
ikan mujair goreng,Meal,ikan mujair 150 g; sejumput; minyak goreng 20 ml,Beri ikan mujair 150 g dengan sejumput lalu goreng menggunakan minyak 20 ml hingga keemasan,168.5,24.55,6.92,53.0,2.22,0.1,0.19,194.0,357.0
ikan panggang,Meal,ikan 150 g; sejumput,Panggang ikan 150 g dengan sejumput hingga matang,125.96,21.94,3.44,73.0,0.33,0.0,0.08,356.0,341.0
ikan salmon panggang,Meal,ikan salmon 150 g; sejumput,Panggang ikan salmon 150 g dengan sejumput hingga matang,170.89,23.97,7.56,62.0,0.49,0.0,0.11,467.0,395.0
ikan tongkol asam pedas,Meal,1 sdm cabai merah atau rawit; 100gramasam jawa; 1 siung bawang putih; 1 kecil bawang merah; 100gramikan tongkol,"Rebus tuna dalam air hingga empuk, Tiriskan dan potong, | Dalam wajan yang sudah diolesi sedikit minyak, tumis bahan lainnya hingga harum, | Tambahkan tuna dan aduk, | Didihkan selama 5 menit,",33.22,2.35,0.21,3.33,6.13,0.63,5.08,11.67,103.67
ikan tongkol goreng,Meal,ikan tongkol 150 g; sejumput; minyak goreng 20 ml,Beri ikan tongkol 150 g dengan sejumput lalu goreng menggunakan minyak 20 ml hingga matang,200.29,20.95,11.41,36.0,2.38,0.1,0.2,244.0,347.0
ikan trout panggang,Meal,ikan trout 150 g; sejumput,Panggang ikan trout 150 g dengan sejumput hingga matang,188.1,24.37,9.16,69.0,0.41,0.0,0.09,364.0,532.0
ikan tuna panggang,Meal,ikan tuna 150 g; sejumput,Panggang ikan tuna 150 g dengan sejumput hingga kecokelatan,152.96,27.3,3.96,53.0,0.41,0.0,0.09,366.0,524.0
indomie goreng,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,400.1,8.0,14.0,0.0,54.0,2.0,8.0,1070.0,0.0
indomie goreng (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,380.02,8.0,14.0,0.0,54.0,2.0,8.0,1070.0,0.0
indomie rasa kari ayam (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,330.07,7.0,14.0,0.0,43.0,3.0,2.0,1350.0,0.0
indomie rasa soto padang (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,330.07,8.0,14.0,0.0,44.0,6.0,0.0,1120.0,0.0
indomie spaghetti (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,340.11,12.0,11.0,5.0,50.0,3.0,5.0,1100.0,0.0
indomie tori miso (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,390.06,8.0,15.0,0.0,56.0,5.0,3.0,1410.0,0.0
intermi goreng pedas,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,270.08,4.0,10.0,0.0,40.0,2.0,4.0,760.0,0.0
intip goreng,Snack,beras 100 g; minyak goreng 30 ml,Goreng intip dari beras 100 g menggunakan minyak goreng 30 ml hingga renyah,474.19,5.36,20.29,0.0,67.06,1.6,2.68,277.0,72.0
italian pesto chicken,Meal,dada ayam 150 g; saus pesto 30 g,Masak dada ayam 150 g lalu campurkan saus pesto 30 g hingga merata dan matang,163.0,24.0,5.0,0.0,3.0,0.0,0.0,122.0,0.0
Jambu Air,Snack,Tidak Tersedia,Tidak Tersedia,25.0,0.6,0.3,0.0,5.7,0.0,4.5,0.0,123.0
Jambu Biji,Snack,Tidak Tersedia,Tidak Tersedia,68.0,2.6,0.5,0.0,14.3,5.4,8.9,2.0,417.0
